City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Thompson,CA,62.76,few clouds,55.7435,-97.8558,Burntwood Hotel
3,Ushuaia,AR,37.06,scattered clouds,-54.8,-68.3,Albatros Hotel
5,Bluff,NZ,46.8,moderate rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
7,Tuktoyaktuk,CA,48.2,light rain,69.4541,-133.0374,End of The Road Ltd.
9,Punta Arenas,CL,41.11,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
10,Alice Springs,AU,53.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
12,Mildura,AU,48.16,scattered clouds,-34.2,142.15,Mercure Hotel Mildura
13,East London,ZA,59.49,clear sky,-33.0153,27.9116,Tu Casa
17,Busselton,AU,58.08,clear sky,-33.65,115.3333,Observatory Guest House
18,Codrington,AU,50.04,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
19,Mar Del Plata,AR,53.62,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
21,Olafsvik,IS,49.75,light rain,64.8945,-23.7142,Hotel Olafsvik
23,Saskylakh,RU,55.15,overcast clouds,71.9167,114.0833,
24,Tilichiki,RU,53.22,overcast clouds,60.4667,166.1,
25,Kurilsk,RU,62.13,clear sky,45.2333,147.8833,City of Kurilsk
27,New Norfolk,AU,43.88,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
28,Mataura,NZ,46.47,moderate rain,-46.1927,168.8643,Ellie's Villa
30,Tiksi,RU,48.25,overcast clouds,71.6872,128.8694,Arktika
31,Hobart,AU,44.22,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
33,Port Elizabeth,ZA,52.09,scattered clouds,-33.918,25.5701,39 On Nile Guest House
34,Aklavik,CA,54.43,overcast clouds,68.2191,-135.0107,Aklavik Inn
35,Port Alfred,ZA,61.18,broken clouds,-33.5906,26.891,The Halyards Hotel
37,Aksarka,RU,44.08,clear sky,66.5606,67.7975,
39,Cape Town,ZA,62.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
44,Teeli,RU,59.18,overcast clouds,51.0333,90.2333,
45,Yellowknife,CA,63.32,few clouds,62.456,-114.3525,The Explorer Hotel
48,Ballina,AU,46.78,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
