City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Naze,JP,2021-07-14 02:09:21,28.3667,129.4833,81.64,76,100,7.85
1,Dikson,RU,2021-07-14 02:09:21,73.5069,80.5464,35.38,89,30,15.93
2,Mataura,NZ,2021-07-14 02:09:21,-46.1927,168.8643,48.96,71,100,7.07
3,Atuona,PF,2021-07-14 02:09:21,-9.8,-139.0333,78.24,73,13,21.77
4,Phan Thiet,VN,2021-07-14 02:09:22,10.9333,108.1,83.32,73,100,2.46
5,Quballat,TN,2021-07-14 02:09:22,36.5418,9.6633,73.62,64,0,11.3
6,Salinas,US,2021-07-14 02:09:22,36.6777,-121.6555,74.7,74,90,10.36
7,Punta Arenas,CL,2021-07-14 02:08:39,-53.15,-70.9167,26.71,93,75,3.44
8,Hermanus,ZA,2021-07-14 02:09:22,-34.4187,19.2345,48.9,74,30,9.31
9,East London,ZA,2021-07-14 02:09:23,-33.0153,27.9116,52.9,57,37,19.57
10,Kavieng,PG,2021-07-14 02:09:23,-2.5744,150.7967,85.6,68,55,17.43
11,Crangeni,RO,2021-07-14 02:09:23,44.0333,24.7833,69.66,68,0,7.23
12,Tuktoyaktuk,CA,2021-07-14 02:09:23,69.4541,-133.0374,42.22,77,100,13.56
13,Srostki,RU,2021-07-14 02:09:24,52.4189,85.7022,69.55,70,100,9.28
14,Fonte Boa,BR,2021-07-14 02:07:08,-2.4959,-66.2662,73.4,97,99,1.07
15,Etla,MX,2021-07-14 02:09:24,17.0608,-96.7944,70.39,35,40,5.75
16,Hobart,AU,2021-07-14 02:05:43,-42.8794,147.3294,52.27,92,75,1.01
17,Vaini,TO,2021-07-14 02:09:24,-21.2,-175.2,78.96,89,75,8.05
18,Coffs Harbour,AU,2021-07-14 02:09:24,-30.3,153.1333,64.36,59,75,10.36
19,Camacha,PT,2021-07-14 02:09:25,33.0833,-16.3333,66.96,73,40,8.05
20,Nalut,LY,2021-07-14 02:09:25,30.3333,10.85,83.5,18,8,10.33
21,Zanesville,US,2021-07-14 02:05:01,39.9404,-82.0132,74.84,77,1,1.01
22,Birin,NP,2021-07-14 02:09:25,26.8865,88.0718,65.19,92,98,2.28
23,Arraial Do Cabo,BR,2021-07-14 02:09:25,-22.9661,-42.0278,70.75,88,0,20.6
24,Cidreira,BR,2021-07-14 02:09:26,-30.1811,-50.2056,63.54,80,100,3.4
25,Busselton,AU,2021-07-14 02:09:26,-33.65,115.3333,57.04,67,38,19.3
26,Khatanga,RU,2021-07-14 02:09:26,71.9667,102.5,44.02,58,93,16.44
27,Lesnoy,RU,2021-07-14 02:09:27,57.6198,63.0784,49.08,65,6,9.78
28,Rikitea,PF,2021-07-14 02:05:09,-23.1203,-134.9692,74.05,72,1,13.38
29,Mahebourg,MU,2021-07-14 02:09:27,-20.4081,57.7,66.25,79,20,13.62
30,Yulara,AU,2021-07-14 02:09:27,-25.2406,130.9889,66.04,59,90,5.75
31,Ushuaia,AR,2021-07-14 02:09:27,-54.8,-68.3,29.86,80,40,6.91
32,Constitucion,CL,2021-07-14 02:07:39,-35.3333,-72.4167,47.41,72,0,5.08
33,Yellowknife,CA,2021-07-14 02:09:28,62.456,-114.3525,74.28,49,96,1.01
34,El Dorado,US,2021-07-14 02:09:28,38.7666,-120.5177,95.68,26,0,6.53
35,North Bend,US,2021-07-14 02:09:28,43.4065,-124.2243,61.92,85,90,23.02
36,Livny,RU,2021-07-14 02:09:28,52.4253,37.6069,64.76,71,0,3.8
37,Luderitz,NA,2021-07-14 02:09:29,-26.6481,15.1594,51.53,45,0,8.03
38,Kahului,US,2021-07-14 02:05:58,20.8947,-156.47,84.22,68,40,25.32
39,Ponta Do Sol,PT,2021-07-14 02:09:29,32.6667,-17.1,71.71,72,0,6.55
40,Morden,CA,2021-07-14 02:09:29,49.1919,-98.1014,75.58,53,11,6.82
41,Georgetown,MY,2021-07-14 02:09:29,5.4112,100.3354,82.33,79,20,0.0
42,Brae,GB,2021-07-14 02:09:30,60.3964,-1.353,57.11,93,86,2.68
43,Souillac,MU,2021-07-14 02:09:30,-20.5167,57.5167,66.36,81,22,12.66
44,Puerto Ayora,EC,2021-07-14 02:09:30,-0.7393,-90.3518,72.25,88,92,9.57
45,Douglas,US,2021-07-14 02:09:30,41.3,-96.167,82.74,78,1,1.99
46,Port Elizabeth,ZA,2021-07-14 02:09:31,-33.918,25.5701,48.09,76,56,14.29
47,Albany,US,2021-07-14 02:07:32,42.6001,-73.9662,72.37,91,99,4.0
48,Cabo San Lucas,MX,2021-07-14 02:09:31,22.8909,-109.9124,87.8,45,75,6.91
49,Soyo,AO,2021-07-14 02:09:31,-6.1349,12.3689,71.13,90,52,7.7
50,Bredasdorp,ZA,2021-07-14 02:09:31,-34.5322,20.0403,42.37,80,5,7.56
51,Los Llanos De Aridane,ES,2021-07-14 02:09:32,28.6585,-17.9182,67.75,78,0,17.27
52,Port Augusta,AU,2021-07-14 02:09:32,-32.5,137.7667,66.34,52,51,16.78
53,Chokurdakh,RU,2021-07-14 02:09:32,70.6333,147.9167,53.98,49,45,8.57
54,Ancud,CL,2021-07-14 02:09:32,-41.8697,-73.8203,46.22,83,100,8.88
55,Verkhniy Avzyan,RU,2021-07-14 02:09:32,53.5289,57.5372,54.86,75,16,0.74
56,Saint-Philippe,RE,2021-07-14 02:09:33,-21.3585,55.7679,67.55,74,7,8.84
57,Lasa,IT,2021-07-14 02:09:33,46.6166,10.7002,55.02,97,100,2.46
58,Dakar,SN,2021-07-14 02:07:13,14.6937,-17.4441,79.68,84,11,11.45
59,Meulaboh,ID,2021-07-14 02:09:33,4.1363,96.1285,79.07,80,58,2.98
60,Vila Franca Do Campo,PT,2021-07-14 02:09:34,37.7167,-25.4333,70.21,84,100,7.05
61,Carnarvon,AU,2021-07-14 02:09:34,-24.8667,113.6333,68.07,61,84,15.32
62,Provideniya,RU,2021-07-14 02:09:34,64.3833,-173.3,46.51,81,20,13.42
63,Butaritari,KI,2021-07-14 02:09:34,3.0707,172.7902,82.69,77,63,11.65
64,Altar,MX,2021-07-14 02:09:35,30.7,-111.8167,86.61,55,100,6.69
65,Bluff,NZ,2021-07-14 02:09:35,-46.6,168.3333,51.26,70,100,20.87
66,Tocopilla,CL,2021-07-14 02:09:35,-22.092,-70.1979,62.42,78,100,9.93
67,Riyadh,SA,2021-07-14 02:06:59,24.6877,46.7219,86.14,18,100,2.44
68,Miquelon,PM,2021-07-14 02:09:35,47.0975,-56.3814,55.96,79,2,12.24
69,Heidenau,DE,2021-07-14 02:09:36,50.9722,13.8674,67.75,95,75,3.44
70,Cape Town,ZA,2021-07-14 02:09:12,-33.9258,18.4232,49.12,82,64,1.99
71,Tanete,ID,2021-07-14 02:09:36,-3.9443,119.7848,82.63,69,76,8.93
72,Redlands,US,2021-07-14 02:09:36,34.0556,-117.1825,98.65,43,44,4.0
73,Tasiilaq,GL,2021-07-14 02:09:36,65.6145,-37.6368,44.76,95,94,5.32
74,Kapaa,US,2021-07-14 02:09:37,22.0752,-159.319,84.52,74,75,1.99
75,Avarua,CK,2021-07-14 02:09:37,-21.2078,-159.775,80.65,69,40,9.22
76,Mount Gambier,AU,2021-07-14 02:09:37,-37.8333,140.7667,53.51,94,90,16.11
77,Vestmannaeyjar,IS,2021-07-14 02:09:37,63.4427,-20.2734,52.09,85,100,15.23
78,El Alto,PE,2021-07-14 02:09:37,-4.2714,-81.2147,65.73,85,18,17.6
79,Airai,TL,2021-07-14 02:09:38,-8.9266,125.4092,71.17,50,100,4.83
